break_id,account_id,break_text
BRK0237f1ef,B003395,Instrument mapping issue: ISIN/SEDOL mismatch for ORCL; refer static data.
BRKe533a7b4,B003261,Duplicate booking suspected for INTC; two fills with same timestamp.
BRKd7a93369,B003080,"Trade not affirmed by counterparty; venue NASDAQ, orderId 3faa6e0a, partial fill discrepancy."
BRK4ec75954,B003476,FX mismatch between custodian and OMS for LIN on 2025-08-18; expected 751 got 673.
BRK25e3ed2f,B003922,FX mismatch between custodian and OMS for NKE on 2025-08-05; expected 284 got 781.
BRK843782ae,B003135,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK876c0ec2,B003204,Corporate action cash dividend missing for SQ; record date 2025-07-15.
BRK1118ea31,B004128,FX mismatch between custodian and OMS for QQQ on 2025-08-20; expected 646 got 499.
BRKbfc4a27c,B003633,Corporate action cash dividend missing for TSLA; record date 2025-03-30.
BRKf53cf278,B004114,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKac07a7e4,B003523,Instrument mapping issue: ISIN/SEDOL mismatch for AMAT; refer static data.
BRK785e116f,B003764,Price variance over tolerance for NVDA; OMS 341.51 vs custodian 342.89.
BRK501b63cc,B003593,"Settlement fail on AAPL; reason: SSI rejected, requires updated BIC/SWIFT."
BRKd4d84f11,B003220,FX mismatch between custodian and OMS for SHOP on 2025-04-02; expected 46 got 202.
BRKec385827,B003783,"Trade not affirmed by counterparty; venue NASDAQ, orderId 6ac5763b, partial fill discrepancy."
BRK0aeb3279,B003102,Corporate action cash dividend missing for T; record date 2025-09-05.
BRK9e41407a,B004422,FX mismatch between custodian and OMS for QQQ on 2025-07-27; expected 966 got 957.
BRK51c3aa6c,B003071,Duplicate booking suspected for GOOGL; two fills with same timestamp.
BRKb75bc9db,B003800,Corporate action cash dividend missing for LIN; record date 2025-05-25.
BRKfe379340,B003402,FX mismatch between custodian and OMS for AVGO on 2025-04-22; expected 20 got 352.
BRKafd55012,B003974,FX mismatch between custodian and OMS for SPY on 2025-06-20; expected 71 got 103.
BRK4bcbcb73,B003498,FX mismatch between custodian and OMS for JPM on 2025-06-15; expected 36 got 822.
BRKd78cc4bd,B003442,"Trade not affirmed by counterparty; venue NYSE, orderId 5a1504a0, partial fill discrepancy."
BRKbb98f2c7,B004340,Corporate action cash dividend missing for AMD; record date 2025-07-27.
BRK68a3dc40,B004107,FX mismatch between custodian and OMS for MRK on 2025-06-03; expected 771 got 526.
BRK9ab814ce,B003154,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKf8af3679,B003051,Duplicate booking suspected for COST; two fills with same timestamp.
BRK0e7b4521,B003834,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKda7f40f4,B004120,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK3bf68433,B003525,Instrument mapping issue: ISIN/SEDOL mismatch for KO; refer static data.
BRKa7e2d9b3,B003617,Corporate action cash dividend missing for PFE; record date 2025-08-06.
BRK47c243d1,B004326,Corporate action cash dividend missing for INTC; record date 2025-09-05.
BRK053d1f42,B004203,Corporate action cash dividend missing for BAC; record date 2025-08-18.
BRK789d3232,B004194,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKcb1e5118,B003369,FX mismatch between custodian and OMS for NFLX on 2025-04-04; expected 223 got 695.
BRK887687de,B003861,Duplicate booking suspected for QQQ; two fills with same timestamp.
BRKa95faa08,B003267,"Trade not affirmed by counterparty; venue BATS, orderId b5d644e0, partial fill discrepancy."
BRKfcdf44bf,B003614,FX mismatch between custodian and OMS for GLD on 2025-04-19; expected 703 got 142.
BRK709cdc82,B003706,Duplicate booking suspected for MRK; two fills with same timestamp.
BRK60191b9e,B003229,Corporate action cash dividend missing for NFLX; record date 2025-08-30.
BRK05baea08,B004366,"Trade not affirmed by counterparty; venue EUREX, orderId 90e7a0b9, partial fill discrepancy."
BRK0d2fd9f7,B004106,Price variance over tolerance for ASML; OMS 493.39 vs custodian 487.0.
BRKb6a09135,B003847,Instrument mapping issue: ISIN/SEDOL mismatch for WMT; refer static data.
BRKcf36c166,B004381,"Settlement fail on AVGO; reason: SSI rejected, requires updated BIC/SWIFT."
BRKdc06b335,B003019,Price variance over tolerance for ORCL; OMS 176.47 vs custodian 176.57.
BRKd549d95c,B003048,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKa912c854,B003181,FX mismatch between custodian and OMS for SQ on 2025-08-11; expected 512 got 303.
BRK39d1e9e9,B004161,Instrument mapping issue: ISIN/SEDOL mismatch for JPM; refer static data.
BRK0e7eb2a5,B003826,"Settlement fail on SQ; reason: SSI rejected, requires updated BIC/SWIFT."
BRKe298df40,B003404,"Settlement fail on LULU; reason: SSI rejected, requires updated BIC/SWIFT."
BRK218c7385,B004044,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK329fb620,B004032,"Settlement fail on MA; reason: SSI rejected, requires updated BIC/SWIFT."
BRK3b689ada,B003840,Instrument mapping issue: ISIN/SEDOL mismatch for PEP; refer static data.
BRKbdd3086b,B003344,"Settlement fail on META; reason: SSI rejected, requires updated BIC/SWIFT."
BRK85c92ca3,B004405,FX mismatch between custodian and OMS for SLV on 2025-08-02; expected 377 got 929.
BRK2561020c,B003003,"Settlement fail on ASML; reason: SSI rejected, requires updated BIC/SWIFT."
BRKdd0b1933,B003037,Instrument mapping issue: ISIN/SEDOL mismatch for UBER; refer static data.
BRKc42be7c6,B004462,"Settlement fail on INTC; reason: SSI rejected, requires updated BIC/SWIFT."
BRK8a2b6c97,B003009,"Trade not affirmed by counterparty; venue NYSE, orderId aa8f334d, partial fill discrepancy."
BRK837ba146,B003831,FX mismatch between custodian and OMS for COST on 2025-09-08; expected 603 got 982.
BRKeb125a33,B003787,Corporate action cash dividend missing for SQ; record date 2025-04-01.
BRKcbe6de33,B004403,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKda4b5981,B004378,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK1161ec9f,B003091,Duplicate booking suspected for NFLX; two fills with same timestamp.
BRKd171e30c,B004121,Price variance over tolerance for CRM; OMS 134.54 vs custodian 134.08.
BRK33ea3065,B003103,Price variance over tolerance for MSFT; OMS 202.18 vs custodian 207.32.
BRK994698a7,B003889,"Settlement fail on BRK.B; reason: SSI rejected, requires updated BIC/SWIFT."
BRK3abd89ce,B003196,Duplicate booking suspected for ABNB; two fills with same timestamp.
BRKe2e6bc10,B004137,Price variance over tolerance for QQQ; OMS 333.89 vs custodian 342.55.
BRKaf9be44f,B004174,Corporate action cash dividend missing for COST; record date 2025-06-21.
BRK1e030f10,B004361,Duplicate booking suspected for AAPL; two fills with same timestamp.
BRK2f8c1e6b,B003568,FX mismatch between custodian and OMS for AVGO on 2025-05-26; expected 467 got 334.
BRK07841683,B004177,Price variance over tolerance for SPY; OMS 267.8 vs custodian 265.93.
BRK56e6a105,B003828,Corporate action cash dividend missing for CRM; record date 2025-05-18.
BRKc86e86ac,B003119,Price variance over tolerance for UBER; OMS 345.85 vs custodian 342.22.
BRK3bbb5633,B003285,"Trade not affirmed by counterparty; venue NASDAQ, orderId c9056e6b, partial fill discrepancy."
BRK66ce7fa8,B003282,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKcfb2a7c4,B003002,Corporate action cash dividend missing for V; record date 2025-05-31.
BRK14c8fb3c,B004025,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK7bb6af7f,B003278,Duplicate booking suspected for NKE; two fills with same timestamp.
BRKd68bbdc1,B003842,"Settlement fail on KO; reason: SSI rejected, requires updated BIC/SWIFT."
BRK6f732fd9,B003017,Corporate action cash dividend missing for PFE; record date 2025-08-17.
BRK74486a8a,B003285,Duplicate booking suspected for UBER; two fills with same timestamp.
BRK414f2ab4,B004406,Corporate action cash dividend missing for AVGO; record date 2025-08-22.
BRK6e93ef35,B003708,Price variance over tolerance for SQ; OMS 311.35 vs custodian 312.13.
BRK6d7b2883,B003234,FX mismatch between custodian and OMS for ASML on 2025-08-31; expected 485 got 621.
BRKe273ec93,B003448,Instrument mapping issue: ISIN/SEDOL mismatch for AMZN; refer static data.
BRK86ad1607,B003174,"Settlement fail on JPM; reason: SSI rejected, requires updated BIC/SWIFT."
BRKd589537a,B003177,Corporate action cash dividend missing for MSFT; record date 2025-08-17.
BRK82980ec8,B004162,Instrument mapping issue: ISIN/SEDOL mismatch for SLV; refer static data.
BRK2001b660,B003256,Price variance over tolerance for MSFT; OMS 200.29 vs custodian 207.2.
BRK309c3151,B003023,Instrument mapping issue: ISIN/SEDOL mismatch for VZ; refer static data.
BRKf08e0aad,B004496,Price variance over tolerance for BP; OMS 163.93 vs custodian 161.93.
BRK2ea3376e,B003625,Corporate action cash dividend missing for QQQ; record date 2025-07-25.
BRKbdc6ae70,B004298,FX mismatch between custodian and OMS for KO on 2025-06-02; expected 119 got 641.
BRK1fe44d43,B003681,Duplicate booking suspected for JNJ; two fills with same timestamp.
BRK74f8e892,B004498,Corporate action cash dividend missing for KO; record date 2025-05-06.
BRKdbcd8ac4,B004143,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKeaf29aa5,B003334,Corporate action cash dividend missing for PEP; record date 2025-08-14.
BRK6a3dd9a9,B003807,Instrument mapping issue: ISIN/SEDOL mismatch for AMD; refer static data.
BRKec18ff8d,B003719,Instrument mapping issue: ISIN/SEDOL mismatch for SHEL; refer static data.
BRK37d6595c,B003565,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK049f9e8b,B003905,Price variance over tolerance for ORCL; OMS 180.13 vs custodian 179.28.
BRKd2ad31bb,B004356,FX mismatch between custodian and OMS for MA on 2025-04-13; expected 664 got 217.
BRKe95fc29a,B003030,"Trade not affirmed by counterparty; venue LSE, orderId bdbfb665, partial fill discrepancy."
BRKdb01d8fb,B004025,Price variance over tolerance for SQ; OMS 309.93 vs custodian 311.73.
BRK6a3c7efb,B003641,"Settlement fail on AMAT; reason: SSI rejected, requires updated BIC/SWIFT."
BRKbdf3ae24,B004486,Corporate action cash dividend missing for AVGO; record date 2025-06-04.
BRK7b813797,B003177,Instrument mapping issue: ISIN/SEDOL mismatch for DIS; refer static data.
BRK3e5bc92a,B003729,Price variance over tolerance for MA; OMS 430.51 vs custodian 430.98.
BRKd7395014,B003035,Price variance over tolerance for INTC; OMS 403.88 vs custodian 411.23.
BRK8043040d,B003253,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK60abc91d,B004127,Corporate action cash dividend missing for NVDA; record date 2025-04-26.
BRK690b7be5,B004369,Price variance over tolerance for CRM; OMS 133.85 vs custodian 135.59.
BRK3ab6f2e4,B003588,Corporate action cash dividend missing for ORCL; record date 2025-05-03.
BRK15ab64d9,B004058,Instrument mapping issue: ISIN/SEDOL mismatch for BAC; refer static data.
BRK033fe8cc,B003829,Duplicate booking suspected for WMT; two fills with same timestamp.
BRK459e9795,B003089,Corporate action cash dividend missing for HD; record date 2025-08-16.
BRKbddfc5e0,B003636,Price variance over tolerance for PG; OMS 386.92 vs custodian 382.24.
BRKee898742,B003506,"Trade not affirmed by counterparty; venue NYSE, orderId ad10ae3d, partial fill discrepancy."
BRK67937bc8,B003636,Instrument mapping issue: ISIN/SEDOL mismatch for IVV; refer static data.
BRKbb309dc0,B004017,Instrument mapping issue: ISIN/SEDOL mismatch for V; refer static data.
BRK7ddb9647,B003334,"Settlement fail on AMZN; reason: SSI rejected, requires updated BIC/SWIFT."
BRK02d462e1,B004127,FX mismatch between custodian and OMS for MRK on 2025-04-10; expected 92 got 96.
BRK85821297,B003066,Price variance over tolerance for AAPL; OMS 165.35 vs custodian 169.73.
BRK89312426,B003239,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKc758dca5,B003955,Instrument mapping issue: ISIN/SEDOL mismatch for BND; refer static data.
BRKf8306bee,B004290,Corporate action cash dividend missing for BND; record date 2025-06-01.
BRKfaa0ac24,B004400,FX mismatch between custodian and OMS for EEM on 2025-04-04; expected 749 got 524.
BRK2ab1ce02,B003201,Price variance over tolerance for PYPL; OMS 391.04 vs custodian 388.2.
BRK60721b90,B004072,FX mismatch between custodian and OMS for DIS on 2025-06-07; expected 653 got 128.
BRK8a878d2c,B003421,"Settlement fail on AMD; reason: SSI rejected, requires updated BIC/SWIFT."
BRK00519b53,B004446,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK86c0fa03,B004082,FX mismatch between custodian and OMS for TLT on 2025-05-18; expected 492 got 145.
BRK10b1f609,B004226,"Settlement fail on BND; reason: SSI rejected, requires updated BIC/SWIFT."
BRKab3cd07a,B003216,"Trade not affirmed by counterparty; venue EUREX, orderId cd163478, partial fill discrepancy."
BRK1bad5260,B003316,Instrument mapping issue: ISIN/SEDOL mismatch for JPM; refer static data.
BRK521a910f,B003247,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK243be264,B003082,"Trade not affirmed by counterparty; venue NYSE, orderId 55678fea, partial fill discrepancy."
BRK04f736a3,B003372,FX mismatch between custodian and OMS for COST on 2025-06-27; expected 699 got 745.
BRKdb93fbcd,B003750,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK875e5a4a,B003064,Price variance over tolerance for AAPL; OMS 170.48 vs custodian 172.12.
BRK963decd5,B003397,"Settlement fail on COST; reason: SSI rejected, requires updated BIC/SWIFT."
BRKfdc4a639,B003332,Instrument mapping issue: ISIN/SEDOL mismatch for MRK; refer static data.
BRKbb7944fb,B004233,Duplicate booking suspected for IWM; two fills with same timestamp.
BRK0e50a5c5,B003815,FX mismatch between custodian and OMS for IWM on 2025-05-11; expected 408 got 825.
BRK89878126,B004397,"Trade not affirmed by counterparty; venue NYSE, orderId 872657fd, partial fill discrepancy."
BRK1347fa0c,B003503,Corporate action cash dividend missing for SQ; record date 2025-06-07.
BRK7e0e057e,B003236,Price variance over tolerance for LLY; OMS 175.51 vs custodian 176.49.
BRK08288b74,B003148,FX mismatch between custodian and OMS for AAPL on 2025-05-09; expected 232 got 207.
BRK501af0d4,B003095,Price variance over tolerance for MRK; OMS 22.98 vs custodian 22.47.
BRK90d6b583,B003577,"Trade not affirmed by counterparty; venue NASDAQ, orderId ddc4c883, partial fill discrepancy."
BRKcfea8060,B004183,Price variance over tolerance for JPM; OMS 391.36 vs custodian 395.31.
BRK11d68cd3,B003048,"Trade not affirmed by counterparty; venue BATS, orderId ee30d59f, partial fill discrepancy."
BRKcd035bfb,B003152,Duplicate booking suspected for MRK; two fills with same timestamp.
BRKfc121a1a,B003301,"Trade not affirmed by counterparty; venue LSE, orderId 01c29009, partial fill discrepancy."
BRK7372d08e,B004462,Price variance over tolerance for UBER; OMS 346.04 vs custodian 350.84.
BRK5302b57b,B003473,Duplicate booking suspected for IWM; two fills with same timestamp.
BRKce654dd6,B003185,Duplicate booking suspected for NVDA; two fills with same timestamp.
BRK46fee126,B003565,Instrument mapping issue: ISIN/SEDOL mismatch for BP; refer static data.
BRK10e132e2,B004004,Instrument mapping issue: ISIN/SEDOL mismatch for ORCL; refer static data.
BRKa94b1d06,B003655,Duplicate booking suspected for T; two fills with same timestamp.
BRK04f84a47,B003280,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKdf82d94c,B003201,Duplicate booking suspected for JPM; two fills with same timestamp.
BRKcdd93f3d,B004037,Duplicate booking suspected for TSLA; two fills with same timestamp.
BRKf31a8c18,B004309,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKff63dfdc,B003038,Price variance over tolerance for V; OMS 88.0 vs custodian 88.4.
BRKbc760ecb,B003573,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK871f157a,B003132,FX mismatch between custodian and OMS for AMD on 2025-08-13; expected 481 got 213.
BRK46bbd70d,B004024,Duplicate booking suspected for NKE; two fills with same timestamp.
BRK2d185604,B004335,"Settlement fail on T; reason: SSI rejected, requires updated BIC/SWIFT."
BRK5aeb1beb,B003443,Duplicate booking suspected for TSLA; two fills with same timestamp.
BRKe349e02a,B003032,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK07485047,B003617,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK73cb940c,B003102,Corporate action cash dividend missing for MA; record date 2025-04-17.
BRKff5c44fb,B004403,Corporate action cash dividend missing for ABNB; record date 2025-05-28.
BRK9a6946ba,B004136,FX mismatch between custodian and OMS for ABNB on 2025-06-24; expected 469 got 431.
BRK68327d8f,B003513,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK2f3be489,B004399,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK13a6b1aa,B003692,Instrument mapping issue: ISIN/SEDOL mismatch for UNH; refer static data.
BRKc53e090a,B003733,"Settlement fail on SPY; reason: SSI rejected, requires updated BIC/SWIFT."
BRK45d2b42b,B004478,FX mismatch between custodian and OMS for ORCL on 2025-05-10; expected 426 got 922.
BRKe63701ef,B003539,Instrument mapping issue: ISIN/SEDOL mismatch for ABNB; refer static data.
BRK51b98ed7,B003361,Duplicate booking suspected for AMZN; two fills with same timestamp.
BRKaa952f0b,B003531,FX mismatch between custodian and OMS for AAPL on 2025-06-12; expected 713 got 542.
BRKff0cb1f9,B003296,Instrument mapping issue: ISIN/SEDOL mismatch for T; refer static data.
BRK967cbad0,B004220,Instrument mapping issue: ISIN/SEDOL mismatch for TXN; refer static data.
BRKc6e63b6b,B003643,Duplicate booking suspected for PG; two fills with same timestamp.
BRKfefc310f,B003970,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK1b441720,B003705,Instrument mapping issue: ISIN/SEDOL mismatch for WMT; refer static data.
BRKeb3186ed,B004442,"Settlement fail on AMAT; reason: SSI rejected, requires updated BIC/SWIFT."
BRK8f556c68,B003531,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK03224d20,B003266,Corporate action cash dividend missing for NKE; record date 2025-07-18.
BRK0180631e,B003359,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK0ef72406,B003951,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKa7fa18d7,B004007,Corporate action cash dividend missing for TSLA; record date 2025-05-23.
BRKadb70e08,B003322,Duplicate booking suspected for IVV; two fills with same timestamp.
BRKd6d16060,B004131,"Settlement fail on INTC; reason: SSI rejected, requires updated BIC/SWIFT."
BRKa9f4fa07,B003212,FX mismatch between custodian and OMS for LLY on 2025-05-23; expected 222 got 603.
BRKb80e2e4d,B003383,Instrument mapping issue: ISIN/SEDOL mismatch for MSFT; refer static data.
BRK2b6ff826,B003028,Corporate action cash dividend missing for TSLA; record date 2025-07-02.
BRK7267d682,B004014,FX mismatch between custodian and OMS for LLY on 2025-08-20; expected 442 got 564.
BRK90e5056e,B003146,FX mismatch between custodian and OMS for AMD on 2025-05-13; expected 953 got 226.
BRK16492564,B003819,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK8aaebab3,B003701,FX mismatch between custodian and OMS for TLT on 2025-09-06; expected 308 got 602.
BRK62d3163b,B003427,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK9b294e16,B003771,"Trade not affirmed by counterparty; venue EUREX, orderId 22c7b2b6, partial fill discrepancy."
BRK9194d668,B003327,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK34c12a68,B003010,FX mismatch between custodian and OMS for SHOP on 2025-07-14; expected 769 got 412.
BRKb84389a0,B003532,Duplicate booking suspected for AMZN; two fills with same timestamp.
BRKef974fb9,B004126,"Settlement fail on PEP; reason: SSI rejected, requires updated BIC/SWIFT."
BRKb435a841,B003260,Corporate action cash dividend missing for NKE; record date 2025-03-13.
BRKedf3efa2,B004107,Corporate action cash dividend missing for AMAT; record date 2025-08-17.
BRK849734ea,B003793,FX mismatch between custodian and OMS for XOM on 2025-06-11; expected 315 got 795.
BRKb1dc17de,B003879,Instrument mapping issue: ISIN/SEDOL mismatch for AMZN; refer static data.
BRK84a17d7b,B003809,Corporate action cash dividend missing for QQQ; record date 2025-06-16.
BRKceb5d223,B004132,Duplicate booking suspected for QQQ; two fills with same timestamp.
BRK662c4a73,B003542,Duplicate booking suspected for IVV; two fills with same timestamp.
BRKf1ffb82f,B004035,Instrument mapping issue: ISIN/SEDOL mismatch for TXN; refer static data.
BRK4d41c7d9,B003857,Duplicate booking suspected for SLV; two fills with same timestamp.
BRK833d3242,B003347,FX mismatch between custodian and OMS for GOOGL on 2025-04-22; expected 691 got 737.
BRKb981c8ba,B004157,FX mismatch between custodian and OMS for LLY on 2025-07-27; expected 179 got 195.
BRK07b8e995,B003760,"Settlement fail on VNQ; reason: SSI rejected, requires updated BIC/SWIFT."
BRK42dd96db,B003530,FX mismatch between custodian and OMS for SHOP on 2025-04-15; expected 608 got 235.
BRKb1bd7773,B003321,"Settlement fail on CSCO; reason: SSI rejected, requires updated BIC/SWIFT."
BRK4127451d,B003343,"Trade not affirmed by counterparty; venue LSE, orderId f30a97c0, partial fill discrepancy."
BRK128faea7,B004335,Duplicate booking suspected for COST; two fills with same timestamp.
BRK77dbe549,B004266,Duplicate booking suspected for ASML; two fills with same timestamp.
BRKa5024bea,B003462,Price variance over tolerance for TXN; OMS 103.75 vs custodian 110.17.
BRKea2b9bca,B004277,"Settlement fail on PG; reason: SSI rejected, requires updated BIC/SWIFT."
BRK58495e51,B003504,Instrument mapping issue: ISIN/SEDOL mismatch for INTC; refer static data.
BRKc6f3ff6d,B003054,"Settlement fail on CSCO; reason: SSI rejected, requires updated BIC/SWIFT."
BRK9945681c,B003553,FX mismatch between custodian and OMS for NVDA on 2025-07-29; expected 464 got 803.
BRK3bfb343a,B004225,Corporate action cash dividend missing for INTC; record date 2025-06-20.
BRKa63f310e,B003292,Instrument mapping issue: ISIN/SEDOL mismatch for JNJ; refer static data.
BRKf46a502c,B003941,Duplicate booking suspected for KO; two fills with same timestamp.
BRK5f98f5f3,B003030,Price variance over tolerance for NFLX; OMS 319.06 vs custodian 317.09.
BRK16810392,B003416,Duplicate booking suspected for LIN; two fills with same timestamp.
BRK1bc84d91,B004200,Instrument mapping issue: ISIN/SEDOL mismatch for JPM; refer static data.
BRKdb4c2b85,B003204,"Settlement fail on T; reason: SSI rejected, requires updated BIC/SWIFT."
BRKc9ddbf71,B003867,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKe6e7c4b7,B004289,Price variance over tolerance for BP; OMS 160.4 vs custodian 161.45.
BRK18ca2936,B004436,Instrument mapping issue: ISIN/SEDOL mismatch for MSFT; refer static data.
BRKc17261fe,B003054,Corporate action cash dividend missing for AAPL; record date 2025-04-15.
BRK61eb98c7,B003550,Price variance over tolerance for PEP; OMS 223.56 vs custodian 227.25.
BRK0d7bbf52,B004444,Duplicate booking suspected for TSLA; two fills with same timestamp.
BRK69c04e2b,B003726,"Trade not affirmed by counterparty; venue NASDAQ, orderId b49f0251, partial fill discrepancy."
BRKd9783bc4,B003205,"Trade not affirmed by counterparty; venue NYSE, orderId b6d59d17, partial fill discrepancy."
BRK81d71bb9,B004059,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKd58c70e6,B004306,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK2da5a4aa,B004418,Corporate action cash dividend missing for SLV; record date 2025-07-06.
BRKdaa3cf6f,B004027,Price variance over tolerance for SHOP; OMS 29.89 vs custodian 29.68.
BRKaba927b2,B004434,"Trade not affirmed by counterparty; venue NYSE, orderId 5fd2292c, partial fill discrepancy."
BRK833f31c0,B003619,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK96d2dada,B004009,"Settlement fail on VOO; reason: SSI rejected, requires updated BIC/SWIFT."
BRKd68dac66,B003348,Instrument mapping issue: ISIN/SEDOL mismatch for PYPL; refer static data.
BRK87f18088,B004264,Duplicate booking suspected for AMZN; two fills with same timestamp.
BRK39b59fe0,B004362,Price variance over tolerance for PFE; OMS 439.79 vs custodian 440.64.
BRK1b2ed401,B003683,Duplicate booking suspected for VOO; two fills with same timestamp.
BRK2eb90669,B003393,Corporate action cash dividend missing for LLY; record date 2025-04-23.
BRK3f1b4afb,B004455,Corporate action cash dividend missing for LULU; record date 2025-05-09.
BRKc2047860,B003036,Price variance over tolerance for SLV; OMS 111.58 vs custodian 109.33.
BRK09ff4969,B004348,Duplicate booking suspected for PYPL; two fills with same timestamp.
BRK0369c35c,B004305,Duplicate booking suspected for AMAT; two fills with same timestamp.
BRK2fd88967,B003802,Corporate action cash dividend missing for MA; record date 2025-04-19.
BRKd2883acf,B003017,Corporate action cash dividend missing for BND; record date 2025-08-12.
BRK7327854b,B003344,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKc3e745b3,B003386,Corporate action cash dividend missing for PYPL; record date 2025-07-06.
BRK3ca96be1,B003347,"Settlement fail on LULU; reason: SSI rejected, requires updated BIC/SWIFT."
BRK9a3e21ee,B003588,Corporate action cash dividend missing for SQ; record date 2025-04-15.
BRK8ae8e832,B004240,Instrument mapping issue: ISIN/SEDOL mismatch for EFA; refer static data.
BRK6244daf3,B003081,Instrument mapping issue: ISIN/SEDOL mismatch for JPM; refer static data.
BRK56490825,B003107,Instrument mapping issue: ISIN/SEDOL mismatch for PYPL; refer static data.
BRK9f767e11,B003977,FX mismatch between custodian and OMS for LLY on 2025-06-28; expected 29 got 739.
BRKc001a7bd,B004258,"Trade not affirmed by counterparty; venue NASDAQ, orderId 660d3896, partial fill discrepancy."
BRK41ecb557,B003759,Corporate action cash dividend missing for BND; record date 2025-07-19.
BRK4f1c6ad3,B003949,"Settlement fail on NVDA; reason: SSI rejected, requires updated BIC/SWIFT."
BRKd4fe3464,B004423,FX mismatch between custodian and OMS for GOOGL on 2025-05-24; expected 964 got 546.
BRK5500e4b3,B003944,FX mismatch between custodian and OMS for VZ on 2025-03-24; expected 338 got 414.
BRK9abcbf58,B003819,Instrument mapping issue: ISIN/SEDOL mismatch for BRK.B; refer static data.
BRKe563435d,B003970,Instrument mapping issue: ISIN/SEDOL mismatch for CRM; refer static data.
BRK2b2d6638,B004460,FX mismatch between custodian and OMS for CSCO on 2025-09-06; expected 596 got 338.
BRKdab2bd4d,B003948,Price variance over tolerance for HD; OMS 338.52 vs custodian 331.43.
BRK69a9fee9,B003871,"Settlement fail on IWM; reason: SSI rejected, requires updated BIC/SWIFT."
BRK78b06e7e,B003405,"Trade not affirmed by counterparty; venue BATS, orderId 495f77af, partial fill discrepancy."
BRK1927a8c7,B003530,Instrument mapping issue: ISIN/SEDOL mismatch for PFE; refer static data.
BRKc468b18a,B004465,Duplicate booking suspected for TSLA; two fills with same timestamp.
BRK83c5bb4b,B003238,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKcf128267,B004348,Duplicate booking suspected for LIN; two fills with same timestamp.
BRKe378b8f8,B003064,"Settlement fail on CRM; reason: SSI rejected, requires updated BIC/SWIFT."
BRK3b00ecd9,B003598,FX mismatch between custodian and OMS for HD on 2025-04-02; expected 848 got 289.
BRKab772786,B003142,Duplicate booking suspected for T; two fills with same timestamp.
BRK7454550b,B003903,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK3847c6b4,B003386,Corporate action cash dividend missing for HD; record date 2025-06-24.
BRKc7f2b89f,B003587,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKc1956b28,B003159,Corporate action cash dividend missing for VNQ; record date 2025-05-04.
BRKb0e6347b,B003877,"Settlement fail on VNQ; reason: SSI rejected, requires updated BIC/SWIFT."
BRK8464a342,B004172,FX mismatch between custodian and OMS for WMT on 2025-05-17; expected 179 got 372.
BRK5234710b,B004097,Instrument mapping issue: ISIN/SEDOL mismatch for ADBE; refer static data.
BRK01d2c6d4,B003856,FX mismatch between custodian and OMS for UBER on 2025-04-16; expected 297 got 709.
BRK9d88a9ac,B003354,Instrument mapping issue: ISIN/SEDOL mismatch for PG; refer static data.
